NAME                      INSTALLED   FIXED IN        TYPE          VULNERABILITY        SEVERITY  EPSS          RISK   
jackson-core              2.9.10      2.15.0          java-archive  GHSA-h46c-h94j-95f3  High      0.6% (46th)   0.5    
log4j-core                2.17.1      2.25.4          java-archive  GHSA-3pxv-7cmr-fjr4  Medium    0.9% (54th)   0.5    
jersey-common             2.33        2.34            java-archive  GHSA-c43q-5hpj-4crv  Medium    0.9% (55th)   0.5    
rack                      2.2.10      2.2.22          gem           GHSA-mxw3-3hh2-x2mh  High      0.7% (47th)   0.5    
bcprov-jdk15on            1.68        1.78            java-archive  GHSA-v435-xc8x-wvr9  Medium    0.9% (55th)   0.5    
bcprov-jdk15on            1.68                        java-archive  GHSA-wjxj-5m7g-mg7q  Medium    0.9% (56th)   0.5    
rack                      2.2.10      2.2.20          gem           GHSA-6xw4-3v39-52mm  High      0.6% (44th)   0.5    
lz4-java                  1.7.1                       java-archive  GHSA-cmp6-m4wj-q63q  High      0.6% (42nd)   0.4    
cgi                       0.4.1       0.4.2           gem           GHSA-gh9q-2xrm-x6qv  Medium    0.8% (51st)   0.4    
dalli                     2.7.11      3.2.3           gem           GHSA-3xg8-cc8f-9wv2  Low       1.3% (66th)   0.4    
log4j-core                2.17.1      2.25.3          java-archive  GHSA-vc5p-v9hr-52mj  Medium    0.7% (50th)   0.4    
bcprov-jdk15on            1.68        1.78            java-archive  GHSA-4h8f-2wvx-gg5w  Medium    0.8% (51st)   0.4    
rack                      2.2.10      2.2.12          gem           GHSA-8cgq-6mh2-7j6v  Medium    0.7% (48th)   0.4    
rack                      2.2.10      2.2.18          gem           GHSA-625h-95r8-8xpm  High      0.5% (41st)   0.4    
bcprov-jdk15on            1.68                        java-archive  GHSA-hr8g-6v94-x4m9  Medium    0.8% (51st)   0.4    
rack                      2.2.10      2.2.19          gem           GHSA-w9pc-fmgc-vxvw  High      0.5% (40th)   0.4    
cgi                       0.4.1       0.4.2           gem           GHSA-mhwm-jh88-3gjf  Medium    0.7% (48th)   0.4    
rack                      2.2.10      2.2.23          gem           GHSA-v569-hp3g-36wr  High      0.4% (34th)   0.3    
log4j-1.2-api             2.17.1      2.25.4          java-archive  GHSA-h383-gmxw-35v2  Medium    0.5% (41st)   0.3    
guava                     24.1.1-jre  32.0.0-android  java-archive  GHSA-5mg8-w23w-74h3  Low       1.0% (57th)   0.3    
webrick                   1.6.1       1.8.2           gem           GHSA-6f62-3596-g6w7  High      0.4% (31st)   0.3    
faraday                   1.10.4      1.10.6          gem           GHSA-98m9-hrrm-r99r  High      0.4% (31st)   0.3    
rack                      2.2.10      2.2.23          gem           GHSA-h2jq-g4cq-5ppq  High      0.4% (30th)   0.3    
rack                      2.2.10      2.2.23          gem           GHSA-8vqr-qjwx-82mw  High      0.4% (28th)   0.3    
kafka-clients             2.8.1       3.9.2           java-archive  GHSA-wf66-mphr-4c4r  Medium    0.5% (41st)   0.3    
addressable               2.8.7       2.9.0           gem           GHSA-h27x-rffw-24p4  High      0.4% (28th)   0.3    
kafka-clients             2.8.1       3.9.2           java-archive  GHSA-5qcv-4rpc-jp93  High      0.3% (24th)   0.3    
kafka_2.12                2.8.1       3.7.2           java-archive  GHSA-p7c9-8xx8-h74f  Low       0.8% (51st)   0.3    
sinatra                   2.2.1       4.1.0           gem           GHSA-hxx2-7vcw-mqr3  Medium    0.5% (37th)   0.2    
bcpkix-jdk15on            1.68        1.79            java-archive  GHSA-4cx2-fc23-5wg6  Medium    0.4% (34th)   0.2    
webrick                   1.6.1       1.8.2           gem           GHSA-r995-q44h-hr64  Medium    0.4% (33rd)   0.2    
rack                      2.2.10      2.2.20          gem           GHSA-r657-rxjc-j557  Medium    0.4% (34th)   0.2    
