NAME                     INSTALLED  FIXED IN                            TYPE    VULNERABILITY        SEVERITY  EPSS          RISK   
axios                    1.7.9      1.15.1                              npm     GHSA-w9j2-pvgh-6h63  Medium    0.6% (44th)   0.3    
axios                    1.7.9      1.15.1                              npm     GHSA-6chq-wfr3-2hj9  High      0.4% (31st)   0.3    
node                     20.15.1    20.19.2                             binary  CVE-2025-23167       Medium    0.5% (37th)   0.3    
@babel/runtime           7.24.7     7.26.10                             npm     GHSA-968p-4wvh-cqc8  Medium    0.5% (37th)   0.3    
nodemailer               6.9.9      7.0.7                               npm     GHSA-mm7p-fcc7-pg87  Medium    0.5% (39th)   0.3    
tar                      6.2.1      7.5.3                               npm     GHSA-8qq5-rm4j-mr97  High      0.3% (25th)   0.3    
markdown-it              14.1.0     14.1.1                              npm     GHSA-38c4-r59v-3vqw  Medium    0.5% (39th)   0.3    
node-forge               1.3.1      1.4.0                               npm     GHSA-q67f-28xg-22rw  High      0.3% (26th)   0.3    
node-forge               1.3.1      1.4.0                               npm     GHSA-2328-f5f3-gj25  High      0.3% (26th)   0.3    
node-forge               1.3.1      1.4.0                               npm     GHSA-ppp5-5v6c-4jwp  High      0.3% (25th)   0.3    
basic-ftp                5.0.3      5.3.0                               npm     GHSA-rp42-5vxx-qpwr  High      0.3% (25th)   0.2    
brace-expansion          1.1.11     1.1.13                              npm     GHSA-f886-m6hf-6m8v  Medium    0.4% (34th)   0.2    
ip-address               9.0.5      10.1.1                              npm     GHSA-v2v4-37r5-5v8g  Medium    0.5% (37th)   0.2    
node                     20.15.1    *20.20.2, 22.22.2, 24.14.1, 25.8.2  binary  CVE-2026-21714       Medium    0.5% (36th)   0.2    
node                     20.15.1    *22.23.0, 24.17.0                   binary  CVE-2026-48937       Medium    0.4% (35th)   0.2    
handlebars               4.7.7      4.7.9                               npm     GHSA-xjpj-3mr7-gcpf  High      0.3% (20th)   0.2    
axios                    1.7.9      1.15.1                              npm     GHSA-vf2m-468p-8v99  Medium    0.4% (33rd)   0.2    
picomatch                2.3.1      2.3.2                               npm     GHSA-3v7f-55p6-f55p  Medium    0.4% (32nd)   0.2    
tar                      6.2.1      7.5.8                               npm     GHSA-83g3-92jg-28cx  High      0.3% (20th)   0.2    
node                     20.15.1    *20.20.2, 22.22.2, 24.14.1, 25.8.2  binary  CVE-2026-21713       Medium    0.4% (30th)   0.2    
uuid                     3.3.2      11.1.1                              npm     GHSA-w5hq-g745-h8pq  Medium    0.3% (25th)   0.2    
uuid                     3.4.0      11.1.1                              npm     GHSA-w5hq-g745-h8pq  Medium    0.3% (25th)   0.2    
uuid                     8.3.2      11.1.1                              npm     GHSA-w5hq-g745-h8pq  Medium    0.3% (25th)   0.2    
uuid                     9.0.0      11.1.1                              npm     GHSA-w5hq-g745-h8pq  Medium    0.3% (25th)   0.2    
tar                      6.2.1      7.5.11                              npm     GHSA-9ppj-qmqm-q256  High      0.3% (16th)   0.2    
js-yaml                  3.14.1     3.14.2                              npm     GHSA-mh29-5h37-fv8m  Medium    0.4% (29th)   0.2    
js-yaml                  4.1.0      4.1.1                               npm     GHSA-mh29-5h37-fv8m  Medium    0.4% (29th)   0.2    
tar                      6.2.1      7.5.4                               npm     GHSA-r6q2-hw4h-h46w  High      0.2% (14th)   0.2    
lodash                   4.17.21    4.18.0                              npm     GHSA-f23m-r3pf-42rh  Medium    0.3% (23rd)   0.2    
axios                    1.7.9      1.15.1                              npm     GHSA-m7pr-hjqh-92cm  Medium    0.3% (21st)   0.2    
