NAME                        INSTALLED              FIXED IN                       TYPE       VULNERABILITY        SEVERITY  EPSS         RISK   
libzypp                     17.37.18-150700.6.3.1  0:17.38.13-150700.6.13.1       rpm        CVE-2026-44933       High      0.2% (11th)  0.2    
zypper                      1.14.94-150700.13.3.1  0:1.14.98-150700.13.6.1        rpm        CVE-2026-44933       High      0.2% (11th)  0.2    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GHSA-9m57-25v3-79x9  Medium    0.3% (23rd)  0.2    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GO-2026-5033         Medium    0.3% (23rd)  0.2    
libopenssl-3-fips-provider  3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42768       Medium    0.4% (27th)  0.2    
libopenssl3                 3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42768       Medium    0.4% (27th)  0.2    
openssl-3                   3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42768       Medium    0.4% (27th)  0.2    
libopenssl-3-fips-provider  3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42769       Medium    0.3% (17th)  0.1    
libopenssl3                 3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42769       Medium    0.3% (17th)  0.1    
openssl-3                   3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42769       Medium    0.3% (17th)  0.1    
golang.org/x/net            v0.53.0                0.55.0                         go-module  GHSA-5cv4-jp36-h3mw  Medium    0.2% (15th)  0.1    
golang.org/x/net            v0.53.0                0.55.0                         go-module  GO-2026-5028         Medium    0.2% (15th)  0.1    
libopenssl-3-fips-provider  3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42770       Medium    0.3% (17th)  0.1    
libopenssl3                 3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42770       Medium    0.3% (17th)  0.1    
openssl-3                   3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-42770       Medium    0.3% (17th)  0.1    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GHSA-qpw4-5x99-6vjp  Medium    0.2% (9th)   0.1    
golang.org/x/crypto         v0.50.0                0.52.0                         go-module  GO-2026-5016         Medium    0.2% (9th)   0.1    
libopenssl-3-fips-provider  3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-45446       Medium    0.2% (11th)  0.1    
libopenssl3                 3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-45446       Medium    0.2% (11th)  0.1    
openssl-3                   3.2.3-150700.5.31.1    0:3.2.3-150700.5.36.1          rpm        CVE-2026-45446       Medium    0.2% (11th)  0.1    
libavahi-client3            0.8-150600.15.15.1     0:0.8-150600.15.18.1           rpm        CVE-2026-34933       Medium    0.2% (10th)  0.1    
libavahi-common3            0.8-150600.15.15.1     0:0.8-150600.15.18.1           rpm        CVE-2026-34933       Medium    0.2% (10th)  0.1    
golang.org/x/net            v0.53.0                0.55.0                         go-module  GO-2026-5025         Medium    0.2% (8th)   0.1    
golang.org/x/net            v0.53.0                0.55.0                         go-module  GO-2026-5027         Medium    0.2% (7th)   < 0.1  
golang.org/x/net            v0.53.0                0.55.0                         go-module  GO-2026-5029         Medium    0.2% (7th)   < 0.1  
golang.org/x/net            v0.53.0                0.55.0                         go-module  GO-2026-5030         Medium    0.2% (7th)   < 0.1  
cifs-utils                  6.15-150400.3.18.1     0:6.15-150400.3.21.1           rpm        CVE-2026-12505       High      0.1% (2nd)   < 0.1  
libblkid1                   2.40.4-150700.4.10.1   0:2.40.4-150700.4.13.1         rpm        CVE-2026-27456       Medium    0.1% (1st)   < 0.1  
libfdisk1                   2.40.4-150700.4.10.1   0:2.40.4-150700.4.13.1         rpm        CVE-2026-27456       Medium    0.1% (1st)   < 0.1  
libmount1                   2.40.4-150700.4.10.1   0:2.40.4-150700.4.13.1         rpm        CVE-2026-27456       Medium    0.1% (1st)   < 0.1  
libsmartcols1               2.40.4-150700.4.10.1   0:2.40.4-150700.4.13.1         rpm        CVE-2026-27456       Medium    0.1% (1st)   < 0.1  
libuuid1                    2.40.4-150700.4.10.1   0:2.40.4-150700.4.13.1         rpm        CVE-2026-27456       Medium    0.1% (1st)   < 0.1  
util-linux                  2.40.4-150700.4.10.1   0:2.40.4-150700.4.13.1         rpm        CVE-2026-27456       Medium    0.1% (1st)   < 0.1  
libsolv-tools-base          0.7.35-150700.11.5.2   0:0.7.39-150700.11.10.1        rpm        CVE-2026-48863       High      N/A          N/A    
stdlib                      go1.25.10              *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  GO-2026-4970         High      N/A          N/A    
stdlib                      go1.26.3               1.25.12, *1.26.5, 1.27.0-rc.2  go-module  GO-2026-4970         High      N/A          N/A    
stdlib                      go1.25.10              *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  GO-2026-5856         Medium    N/A          N/A    
stdlib                      go1.26.3               1.25.12, *1.26.5, 1.27.0-rc.2  go-module  GO-2026-5856         Medium    N/A          N/A    
golang.org/x/crypto         v0.50.0                                               go-module  GO-2026-5932         Unknown   N/A          N/A
