NAME              INSTALLED  FIXED IN                       TYPE       VULNERABILITY  SEVERITY  EPSS         RISK   
stdlib            go1.25.9   *1.25.11, 1.26.4               go-module  GO-2026-5037   High      0.9% (55th)  0.7    
stdlib            go1.25.9   *1.25.10, 1.26.3               go-module  GO-2026-4980   Medium    0.4% (29th)  0.2    
stdlib            go1.25.9   *1.25.10, 1.26.3               go-module  GO-2026-4976   Medium    0.4% (31st)  0.2    
stdlib            go1.25.9   *1.25.11, 1.26.4               go-module  GO-2026-5039   Medium    0.4% (29th)  0.2    
stdlib            go1.25.9   *1.25.10, 1.26.3               go-module  GO-2026-4982   Medium    0.3% (23rd)  0.2    
golang.org/x/sys  v0.42.0    0.44.0                         go-module  GO-2026-5024   Low       0.1% (1st)   < 0.1  
stdlib            go1.25.9   *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  GO-2026-4970   High      N/A          N/A    
stdlib            go1.25.9   *1.25.12, 1.26.5, 1.27.0-rc.2  go-module  GO-2026-5856   Medium    N/A          N/A
